time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	10	1	12.11	1169.99	14164.5	1143.05	13838.44	326.06	329.3369575	0.038864701	26.94	27.2107515
0	20	2	12.11	1830.81	22164.87	1144.73	13858.73	8306.14	8473.935158	1	686.08	699.9397354
15	30	3	12.11	1638.03	19830.89	1122.44	13588.94	6241.95	6432.045678	0.759038812	515.59	531.2920532
30	40	4	12.11	1651.46	19993.53	1170.16	14166.61	5826.92	6064.721116	0.715691235	481.3	500.9422256
45	50	5	12.11	1551.71	18785.85	1165.32	14108.06	4677.79	4917.625422	0.580323702	386.39	406.2006389
60	60	6	12.11	1542.85	18678.57	1163.54	14086.48	4592.09	4876.048987	0.575417312	379.31	402.7652205
75	70	7	12.11	1435.32	17376.75	1160.91	14054.68	3322.07	3562.947254	0.420459584	274.41	294.30697
90	80	8	12.11	1457.16	17641.24	1187.14	14372.16	3269.08	3541.352087	0.417911162	270.02	292.509174
105	90	9	12.11	1472.06	17821.54	1186.65	14366.31	3455.23	3780.62381	0.446147361	285.41	312.2882823
120	100	10	12.11	1428.42	17293.21	1188.63	14390.22	2902.99	3208.300123	0.378608057	239.79	265.0089344
135	110	11	12.11	1456.87	17637.7	1173.7	14209.52	3428.18	3826.802156	0.451596818	283.17	316.0964612
150	120	12	12.11	1406.77	17031.08	1127.82	13654	3377.08	3807.647068	0.449336347	278.95	314.5152467
165	130	13	12.11	1444.75	17490.96	1180.08	14286.69	3204.27	3649.113624	0.430627985	264.67	301.4137082
180	140	14	12.11	1446.56	17512.89	1178.79	14271.09	3241.8	3728.957601	0.440050287	267.77	308.0088151
195	150	15	12.11	1390.78	16837.51	1139.44	13794.67	3042.84	3535.275707	0.417194095	251.34	292.0154186
210	160	16	12.11	1450.02	17554.72	1210.8	14658.67	2896.05	3398.546158	0.401058787	239.22	280.7272706
225	170	17	12.11	1390.21	16830.7	1227.74	14863.66	1967.04	2331.542055	0.275142777	162.47	192.5764792
240	180	18	12.11	1425.03	17252.19	1124.73	13616.56	3635.63	4352.639362	0.513650303	300.3	359.5243741
255	190	19	12.11	1409.56	17064.9	1190.12	14408.31	2656.59	3212.480389	0.379101365	219.44	265.3577317
270	200	20	12.11	1401.06	16962.06	1196.86	14489.87	2472.19	3019.539685	0.35633264	204.2	249.4104432
285	210	21	12.11	1390.72	16836.86	1172.01	14188.97	2647.89	3266.643798	0.385493131	218.71	269.8177285
300	220	22	12.11	1311.62	15879.19	1251.18	15147.5	731.69	911.741883	0.107593682	60.44	75.3128776
315	230	23	12.11	1336.62	16181.81	1186.64	14366.13	1815.68	2285.214866	0.269675756	149.98	188.7648295
330	240	24	12.11	1351.65	16363.89	1216.61	14728.98	1634.91	2078.377948	0.245267153	135.04	171.6694853
345	250	25	12.11	1338.4	16203.36	1194.99	14467.16	1736.2	2229.324928	0.263080244	143.41	184.142085
360	260	26	12.11	1419.53	17185.58	1188.32	14386.43	2799.15	3630.301852	0.428408028	231.21	299.8632053
375	270	27	12.11	1316.69	15940.59	1253.76	15178.74	761.85	997.9964168	0.117772487	62.93	82.43606288
390	280	28	12.11	1364.61	16520.71	1231.69	14911.49	1609.22	2129.206957	0.251265429	132.92	175.8704147
405	290	29	12.11	1386.56	16786.5	1210.3	14652.6	2133.9	2851.802617	0.336538168	176.26	235.558709
420	300	30	12.11	1395.12	16890.07	1233.94	14938.8	1951.27	2633.938995	0.310828316	161.18	217.5702426
435	310	31	12.11	1418.23	17169.86	1252.71	15166.03	2003.83	2732.072146	0.322408904	165.52	225.6741249
450	320	32	12.11	1335.51	16168.37	1241.59	15031.35	1137.02	1565.821811	0.184780953	93.92	129.3398396
