time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	9	1	11.29	1331.35	15028.29	1327.35	14983.05	45.24	45.64899773	0.002927613	4	4.036162487
0	18	2	11.29	2826.46	31904.96	1469.76	16590.55	15314.41	15592.56527	1	1356.7	1381.34171
15	27	3	11.29	2352.92	26559.63	1403.07	15837.79	10721.84	11015.2732	0.706443937	949.85	975.8453075
30	36	4	11.29	2212.22	24971.48	1400.19	15805.31	9166.17	9502.16372	0.609403492	812.03	841.795647
45	45	5	11.29	2046.29	23098.41	1381.39	15593.03	7505.38	7850.836579	0.503498715	664.9	695.5039241
60	54	6	11.29	1929.3	21777.89	1396.95	15768.77	6009.12	6342.533633	0.406766528	532.35	561.887228
75	63	7	11.29	1907.11	21527.36	1388.59	15674.37	5852.99	6233.59144	0.399779724	518.52	552.2377167
90	72	8	11.29	1836.53	20730.69	1423.11	16064.07	4666.62	5015.008122	0.321628163	413.42	444.2840123
105	81	9	11.29	1863.11	21030.73	1372.51	15492.86	5537.87	6005.105057	0.385126177	490.6	531.9923619
120	90	10	11.29	1822.46	20571.89	1328.55	14996.66	5575.23	6100.273292	0.391229614	493.91	540.4236205
135	99	11	11.29	1810.94	20441.82	1360.51	15357.41	5084.41	5613.525734	0.36001297	450.43	497.3045833
150	108	12	11.29	1710.55	19308.62	1379.38	15570.37	3738.25	4164.588984	0.267088123	331.17	368.9391918
165	117	13	11.29	1747.23	19722.62	1417.39	15999.48	3723.14	4185.254013	0.268413436	329.84	370.7795527
180	126	14	11.29	1794.29	20253.93	1396.9	15768.21	4485.72	5088.072208	0.326313991	397.39	450.7523909
195	135	15	11.29	1705.91	19256.23	1408.28	15896.64	3359.59	3845.174335	0.246603062	297.63	340.6484831
210	144	16	11.29	1702.75	19220.56	1405.47	15864.85	3355.71	3875.456152	0.248545129	297.28	343.3239478
225	153	17	11.29	1675.35	18911.35	1419.91	16027.92	2883.43	3360.133004	0.215495843	255.44	297.6706126
240	162	18	11.29	1693.1	19111.64	1425.42	16090.13	3021.51	3552.873478	0.227856893	267.68	314.7542694
255	171	19	11.29	1734.2	19575.61	1368.59	15448.61	4127	4896.647321	0.314037314	365.61	433.7928827
270	180	20	11.29	1739.29	19633	1430.44	16146.79	3486.21	4173.751143	0.267675721	308.85	369.7605826
285	189	21	11.29	1702.73	19220.39	1407.05	15882.68	3337.71	4032.090368	0.258590572	295.68	357.1935488
300	198	22	11.29	1658.87	18725.23	1389.18	15681.01	3044.22	3710.789699	0.237984554	269.69	328.741968
315	207	23	11.29	1644.68	18565.04	1382.86	15609.7	2955.34	3635.016694	0.233124995	261.82	322.0340369
330	216	24	11.29	1651.39	18640.78	1404.69	15856.1	2784.68	3456.072973	0.221648774	246.7	306.1799569
345	225	25	11.29	1658.97	18726.35	1430.29	16145.06	2581.29	3232.608104	0.207317273	228.68	286.3811587
360	234	26	11.29	1638.05	18490.2	1462.63	16510.07	1980.13	2502.180368	0.160472656	175.42	221.6685168
375	243	27	11.29	1613.11	18208.74	1437.08	16221.75	1986.99	2533.548605	0.1624844	176.03	224.4503299
390	252	28	11.29	1625.52	18348.85	1413.91	15960.15	2388.7	3073.291954	0.197099829	211.61	272.2565874
405	261	29	11.29	1618.31	18267.37	1415.99	15983.63	2283.74	2964.814449	0.190142828	202.32	262.6574213
420	270	30	11.29	1592.57	17976.86	1463.86	16524.03	1452.83	1903.155653	0.122055327	128.71	168.6055245
435	279	31	11.29	1673.87	18894.59	1426.15	16098.36	2796.23	3696.077349	0.237041005	247.72	327.4381152
450	288	32	11.29	1600.52	18066.65	1379.74	15574.46	2492.19	3323.976616	0.213177021	220.78	294.4669376
