time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	7	1	18.4	1382.48	25433.21	1296.37	23849.01	1584.2	1595.328304	0.030285073	86.11	86.71488463
0	14	2	18.4	4285.01	78830.49	1461.44	26885.78	51944.71	52677.05036	1	2823.57	2863.377986
15	21	3	18.4	3841.26	70666.88	1402.05	25793.22	44873.66	45825.97113	0.869941859	2439.21	2490.975041
30	28	4	18.4	3610.22	66416.45	1432.7	26357.01	40059.44	41196.95522	0.782066477	2177.52	2239.352171
45	35	5	18.4	3500.81	64403.7	1428.09	26272.26	38131.44	39489.67079	0.749656074	2072.72	2146.549683
60	42	6	18.4	3348.24	61596.96	1435.81	26414.27	35182.69	36691.83315	0.696543047	1912.43	1994.462688
75	49	7	18.4	3163.43	58196.91	1380.04	25388.23	32808.68	34456.34342	0.654105406	1783.39	1872.952471
90	56	8	18.4	3037.73	55884.52	1392.5	25617.52	30267	32010.30909	0.607670871	1645.23	1739.991437
105	63	9	18.4	3057.61	56250.17	1404.29	25834.45	30415.72	32393.55813	0.614946317	1653.32	1760.830174
120	70	10	18.4	2953.15	54328.5	1405.78	25861.89	28466.61	30530.67212	0.579582036	1547.37	1659.566984
135	77	11	18.4	2799.82	51507.72	1375.52	25305.25	26202.47	28299.77011	0.537231487	1424.3	1538.303929
150	84	12	18.4	2740.81	50422.09	1384.08	25462.72	24959.37	27146.53198	0.515338877	1356.73	1475.618749
165	91	13	18.4	2655.04	48844.14	1438.18	26457.83	22386.31	24519.03149	0.465459461	1216.86	1332.789042
180	98	14	18.4	2630.84	48399.09	1407.76	25898.34	22500.75	24817.48989	0.471125276	1223.08	1349.011723
195	105	15	18.4	2479.57	45616.22	1382.1	25426.23	20189.99	22425.23612	0.42571169	1097.47	1218.971574
210	112	16	18.4	2417.32	44470.92	1408.97	25920.61	18550.31	20748.7603	0.393886145	1008.35	1127.852443
225	119	17	18.4	2419.58	44512.5	1401.37	25780.81	18731.69	21098.81213	0.400531389	1018.21	1146.881115
240	126	18	18.4	2385.3	43881.92	1413.15	25997.35	17884.57	20286.14884	0.385104115	972.15	1102.69241
255	133	19	18.4	2285.9	42053.18	1404.35	25835.48	16217.7	18524.6678	0.351664865	881.55	1006.950486
270	140	20	18.4	2317.29	42630.72	1442.15	26530.98	16099.74	18519.10909	0.351559341	875.14	1006.650612
285	147	21	18.4	2234.33	41104.61	1443.58	26557.26	14547.35	16850.98052	0.319892257	790.75	915.9683963
300	154	22	18.4	2183.54	40170.12	1415.01	26031.73	14138.39	16492.30309	0.313083268	768.53	896.4832412
315	161	23	18.4	2157.77	39696.11	1452.88	26728.31	12967.8	15233.07974	0.289178677	704.89	828.0236877
330	168	24	18.4	2085.27	38362.28	1438.61	26465.8	11896.48	14072.78173	0.267152045	646.66	764.9577886
345	175	25	18.4	2077.99	38228.29	1433.6	26373.73	11854.56	14121.69975	0.268080685	644.39	767.6271495
360	182	26	18.4	2084.97	38356.85	1449.65	26668.98	11687.87	14020.93475	0.266167803	635.32	762.1388897
375	189	27	18.4	1995.85	36717.29	1398.16	25721.65	10995.64	13283.18342	0.252162627	597.69	722.0339969
390	196	28	18.4	1982.11	36464.48	1470.5	27052.47	9412.01	11449.9634	0.217361514	511.61	622.38733
405	203	29	18.4	2007.55	36932.41	1478.98	27208.48	9723.93	11912.51893	0.226142482	528.57	647.5365545
420	210	30	18.4	1946.55	35810.34	1403.41	25818.25	9992.09	12327.02221	0.234011246	543.14	670.0599015
435	217	31	18.4	1972.41	36285.94	1428.62	26281.96	10003.98	12428.38555	0.235935487	543.79	675.5742993
450	224	32	18.4	1874	34475.6	1437.1	26438.09	8037.51	10055.49583	0.1908895	436.9	546.5929284
