time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	8	1	17.71	1155.99	20469.65	1167	20664.56	-194.91	-196.4755338	-0.009679719	-11.01	-11.09843326
0	16	2	17.71	2388.32	42291.09	1260.24	22315.62	19975.47	20297.64807	1	1128.08	1146.274447
15	24	3	17.71	2243.06	39718.94	1204.91	21335.85	18383.09	18829.6211	0.927675021	1038.15	1063.366994
30	32	4	17.71	2159.13	38232.77	1212.06	21462.56	16770.21	17315.53539	0.853080876	947.07	977.8663537
45	40	5	17.71	2117.52	37495.9	1220.45	21611.11	15884.79	16533.06058	0.814530852	897.07	933.6801212
60	48	6	17.71	2016.91	35714.43	1253.4	22194.59	13519.84	14184.61939	0.698830689	763.51	801.052287
75	56	7	17.71	2013.15	35647.69	1209.04	21409.09	14238.6	15058.71038	0.741894348	804.11	850.4248735
90	64	8	17.71	1914.85	33907.15	1234.32	21856.73	12050.42	12846.86116	0.632923633	680.53	725.5078601
105	72	9	17.71	1949.42	34519.2	1228.95	21761.56	12757.64	13710.066	0.675450966	720.47	774.2569357
120	80	10	17.71	1890.98	33484.46	1238.69	21934.11	11550.35	12512.34478	0.616443084	652.29	706.6173214
135	88	11	17.71	1839.83	32578.7	1214.87	21512.19	11066.51	12084.49747	0.59536442	624.96	682.4488967
150	96	12	17.71	1821.76	32258.72	1222.98	21655.79	10602.93	11671.2713	0.575006092	598.78	659.1125123
165	104	13	17.71	1762.54	31210.06	1265.31	22405.49	8804.57	9769.554877	0.481314625	497.23	551.7266342
180	112	14	17.71	1789.39	31685.49	1193.24	21129.26	10556.23	11807.27901	0.581706756	596.15	666.8014419
195	120	15	17.71	1775.2	31434.35	1186.47	21009.4	10424.95	11754.0983	0.579086713	588.73	663.7912214
210	128	16	17.71	1696.37	30038.39	1234.87	21866.42	8171.97	9287.877041	0.457583904	461.5	524.5192107
225	136	17	17.71	1673.53	29633.92	1279.02	22648.14	6985.78	8003.481659	0.394305864	394.51	451.9829638
240	144	18	17.71	1672.98	29624.27	1246.31	22069.05	7555.22	8725.403514	0.429872638	426.67	492.7544026
255	152	19	17.71	1623.74	28752.34	1188.12	21038.66	7713.68	8979.959533	0.442413796	435.62	507.1314822
270	160	20	17.71	1663.75	29460.77	1216.82	21546.87	7913.9	9287.047682	0.457543044	446.93	524.4772136
285	168	21	17.71	1593.51	28217.07	1199.35	21237.44	6979.63	8256.459856	0.406769288	394.16	466.2662945
300	176	22	17.71	1635.97	28968.8	1199.17	21234.21	7734.59	9223.019484	0.45438858	436.8	520.856944
315	184	23	17.71	1599.2	28317.8	1268.83	22467.75	5850.05	7031.852666	0.346436821	330.37	397.1099675
330	192	24	17.71	1595.55	28253.17	1241.13	21977.32	6275.85	7604.262414	0.374637613	354.42	429.4402646
345	200	25	17.71	1540.46	27277.63	1265.52	22409.2	4868.43	5946.31383	0.292955805	274.94	335.8124743
360	208	26	17.71	1555.08	27536.47	1234.61	21861.86	5674.61	6986.654564	0.344210055	320.47	394.5668844
375	216	27	17.71	1560.56	27633.58	1231.58	21808.09	5825.49	7230.029498	0.356200357	328.98	408.2978606
390	224	28	17.71	1583.49	28039.65	1263.62	22375.5	5664.15	7086.253915	0.349116996	319.87	400.180087
405	232	29	17.71	1510.45	26746.32	1223.08	21657.55	5088.77	6417.548242	0.316172013	287.37	362.4079765
420	240	30	17.71	1556.81	27567.19	1240.08	21958.67	5608.52	7129.826285	0.351263667	316.73	402.6427434
435	248	31	17.71	1539.13	27254.1	1231.71	21810.37	5443.73	6975.921877	0.34368129	307.42	393.9464124
450	256	32	17.71	1496.15	26493.07	1215.83	21529.21	4963.86	6412.079696	0.315902595	280.32	362.1041247
