time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	10	1	12.75	1234	15736.93	1316.71	16791.71	-1054.78	-1065.380715	-0.080081775	-82.71	-83.54124932
0	20	2	12.75	2386.93	30440.07	1364.39	17399.84	13040.23	13303.66012	1	1022.54	1043.196678
15	30	3	12.75	2104.95	26844.07	1422.12	18136.1	8707.97	8973.167168	0.674488606	682.83	703.6252694
30	40	4	12.75	2115.54	26979.1	1369.73	17467.91	9511.19	9899.349027	0.744107181	745.81	776.2470835
45	50	5	12.75	2032.68	25922.42	1360.55	17350.81	8571.61	9011.085842	0.67733885	672.13	706.590842
60	60	6	12.75	1924.29	24540.12	1315.49	16776.16	7763.96	8244.056474	0.619683335	608.8	646.4460895
75	70	7	12.75	1895.72	24175.76	1328.34	16940.05	7235.71	7760.358172	0.583325048	567.38	608.5196919
90	80	8	12.75	1824.73	23270.44	1272.13	16223.22	7047.22	7634.162289	0.573839246	552.6	598.6244336
105	90	9	12.75	1756.29	22397.65	1381.67	17620.21	4777.44	5227.35199	0.392925852	374.62	409.8995702
120	100	10	12.75	1725.6	22006.28	1362.98	17381.79	4624.49	5110.851859	0.384168854	362.62	400.7570783
135	110	11	12.75	1716.1	21885.17	1355.8	17290.28	4594.89	5129.174943	0.38554615	360.3	402.1949888
150	120	12	12.75	1678.17	21401.34	1312.36	16736.26	4665.08	5259.863012	0.395369617	365.81	412.4496233
165	130	13	12.75	1682.71	21459.33	1349.49	17209.8	4249.53	4839.48538	0.363770973	333.22	379.4803939
180	140	14	12.75	1635.34	20855.25	1366.23	17423.23	3432.02	3947.762683	0.296742599	269.11	309.550182
195	150	15	12.75	1615.3	20599.63	1371.6	17491.78	3107.85	3610.806551	0.271414522	243.7	283.139005
210	160	16	12.75	1605.43	20473.7	1370.01	17471.53	3002.17	3523.079132	0.26482029	235.42	276.2679292
225	170	17	12.75	1632.68	20821.21	1325.04	16898.04	3923.17	4650.152434	0.349539329	307.64	364.6471845
240	180	18	12.75	1544.11	19691.73	1365.03	17407.94	2283.79	2734.193042	0.205521865	179.08	214.3976854
255	190	19	12.75	1541.94	19664.07	1391.79	17749.2	1914.87	2315.555777	0.174054039	150.15	181.5688271
270	200	20	12.75	1529.89	19510.43	1382.14	17626.16	1884.27	2301.452575	0.17299394	147.75	180.4622575
285	210	21	12.75	1448.82	18476.5	1384.77	17659.72	816.78	1007.643566	0.07574183	64.05	79.01707974
300	220	22	12.75	1472.53	18778.95	1327.33	16927.21	1851.74	2307.410125	0.173441752	145.2	180.9303413
315	230	23	12.75	1513.7	19303.89	1310.01	16706.32	2597.57	3269.301628	0.245744524	203.69	256.364236
330	240	24	12.75	1439.68	18359.92	1376.43	17553.3	806.62	1025.41499	0.07707766	63.25	80.40650876
345	250	25	12.75	1467.89	18719.75	1324.99	16897.39	1822.36	2339.956558	0.175888179	142.9	183.487232
360	260	26	12.75	1454.13	18544.27	1339.87	17087.09	1457.18	1889.860584	0.142055687	114.26	148.1872317
375	270	27	12.75	1495.52	19072.09	1395.35	17794.62	1277.47	1673.440287	0.125787961	100.17	131.219139
390	280	28	12.75	1407.87	17954.28	1380.12	17600.44	353.84	468.1762528	0.035191537	27.75	36.71685229
405	290	29	12.75	1476.74	18832.63	1351.42	17234.35	1598.28	2135.985326	0.160556216	125.32	167.4810928
420	300	30	12.75	1444.06	18415.84	1350.11	17217.68	1198.16	1617.346829	0.121571569	93.95	126.819235
435	310	31	12.75	1448.69	18474.87	1356.91	17304.41	1170.46	1595.834559	0.11995455	91.78	125.135157
450	320	32	12.75	1451.3	18508.17	1350.82	17226.73	1281.44	1764.706602	0.132648203	100.48	138.3737978
