time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	9	1	10.81	1614.4	17458.17	1619.2	17510.09	-51.92	-52.38938908	-0.002540918	-4.8	-4.843394985
0	18	2	10.81	3646.31	39431.36	1773.7	19180.88	20250.48	20618.28899	1	1872.61	1906.622171
15	27	3	10.81	3448.94	37296.99	1724.96	18653.79	18643.2	19153.42342	0.928953097	1723.98	1771.161545
30	36	4	10.81	3312.92	35826.06	1786.52	19319.48	16506.58	17111.64266	0.829925445	1526.4	1582.351484
45	45	5	10.81	3340.7	36126.44	1686.68	18239.84	17886.6	18709.88192	0.907441055	1654.02	1730.151001
60	54	6	10.81	3208.18	34693.43	1636.35	17695.57	16997.86	17940.9795	0.870148804	1571.83	1659.042362
75	63	7	10.81	3234.55	34978.6	1606.12	17368.69	17609.91	18755.02679	0.90963061	1628.43	1734.321656
90	72	8	10.81	3139.18	33947.18	1643.65	17774.54	16172.64	17380.014	0.842941624	1495.53	1607.179307
105	81	9	10.81	3044.6	32924.41	1626.18	17585.57	15338.84	16632.99168	0.806710571	1418.42	1538.093367
120	90	10	10.81	2968.5	32101.46	1644.35	17782.08	14319.38	15667.89735	0.759902888	1324.15	1448.850878
135	99	11	10.81	3015.43	32608.99	1659.75	17948.64	14660.35	16185.99837	0.785031114	1355.68	1496.760601
150	108	12	10.81	2833.3	30639.46	1645.88	17798.62	12840.84	14305.30885	0.693816488	1187.42	1322.842574
165	117	13	10.81	2827.88	30580.78	1635.69	17688.37	12892.41	14492.60858	0.702900642	1192.19	1340.163943
180	126	14	10.81	2795.51	30230.81	1686.93	18242.51	11988.3	13598.11492	0.659517137	1108.58	1257.442526
195	135	15	10.81	2840.21	30714.16	1642.65	17763.68	12950.48	14822.30074	0.71889092	1197.56	1370.651471
210	144	16	10.81	2686.46	29051.52	1668.44	18042.56	11008.96	12714.07296	0.616640545	1018.02	1175.69512
225	153	17	10.81	2710.04	29306.49	1618.28	17500.18	11806.31	13758.18795	0.66728078	1091.76	1272.255199
240	162	18	10.81	2705.67	29259.18	1704.95	18437.43	10821.75	12724.86557	0.617163993	1000.72	1176.706861
255	171	19	10.81	2585.47	27959.38	1640.62	17741.75	10217.63	12123.12347	0.587979123	944.85	1121.055784
270	180	20	10.81	2557.36	27655.38	1625.94	17583.03	10072.35	12058.79231	0.584859021	931.42	1115.112196
285	189	21	10.81	2537.46	27440.18	1607.23	17380.62	10059.56	12152.36044	0.589397134	930.23	1123.755935
300	198	22	10.81	2598.94	28105.01	1648.37	17825.51	10279.5	12530.32393	0.607728601	950.57	1158.709083
315	207	23	10.81	2564.28	27730.26	1681.72	18186.16	9544.1	11739.07666	0.569352611	882.56	1085.533419
330	216	24	10.81	2501.24	27048.46	1647.04	17811.2	9237.26	11464.38536	0.55602991	854.2	1060.149652
345	225	25	10.81	2489.72	26923.91	1679.46	18161.78	8762.13	10973.01444	0.53219811	810.26	1014.707004
360	234	26	10.81	2430.33	26281.74	1636.99	17702.5	8579.24	10841.10937	0.525800632	793.34	1002.499721
375	243	27	10.81	2456.94	26569.5	1679.04	18157.25	8412.25	10726.19603	0.520227262	777.9	991.8758827
390	252	28	10.81	2452.31	26519.35	1607.21	17380.41	9138.94	11758.12399	0.570276418	845.1	1087.302311
405	261	29	10.81	2292.99	24796.51	1669.18	18050.53	6745.98	8757.817866	0.424759682	623.81	809.8474
420	270	30	10.81	2420.82	26178.9	1669.37	18052.6	8126.3	10645.16412	0.516297163	751.45	984.3727865
435	279	31	10.81	2413.99	26105.01	1641.46	17750.84	8354.17	11042.60326	0.535573212	772.53	1021.135827
450	288	32	10.81	2337.36	25276.34	1756.49	18994.72	6281.62	8378.156557	0.406345869	580.87	774.7396052
