time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	10	1	11.33	1438.56	16300.42	1483.38	16808.3	-507.88	-512.9842789	-0.019609328	-44.82	-45.27044849
0	20	2	11.33	3827.95	43374.74	1564.95	17732.53	25642.21	26160.217	1	2263	2308.715632
15	30	3	11.33	3495.08	39602.92	1526.98	17302.34	22300.58	22979.73377	0.878422903	1968.1	2028.037568
30	40	4	11.33	3238.27	36692.95	1595.63	18080.17	18612.78	19372.38196	0.740528336	1642.64	1709.67741
45	50	5	11.33	3146.94	35658.08	1560.37	17680.57	17977.51	18899.23665	0.722441891	1586.57	1667.915183
60	60	6	11.33	3046.15	34516.1	1550.22	17565.67	16950.43	17998.58605	0.688013637	1495.93	1588.433145
75	70	7	11.33	2866.72	32482.97	1589.21	18007.41	14475.56	15525.15653	0.593464363	1277.51	1370.139927
90	80	8	11.33	2769.16	31377.44	1515.02	17166.75	14210.69	15394.2567	0.588460589	1254.14	1358.593643
105	90	9	11.33	2739.22	31038.24	1503.63	17037.76	14000.48	15318.96518	0.585582496	1235.59	1351.950803
120	100	10	11.33	2671.96	30276.09	1511.04	17121.65	13154.44	14537.90453	0.555725686	1160.92	1283.015022
135	110	11	11.33	2608.4	29555.94	1514.41	17159.86	12396.08	13837.47226	0.528950974	1093.99	1221.197046
150	120	12	11.33	2487.18	28182.39	1499.11	16986.49	11195.9	12623.342	0.482539652	988.07	1114.045814
165	130	13	11.33	2535.51	28729.98	1587.73	17990.65	10739.33	12230.25382	0.46751347	947.78	1079.358765
180	140	14	11.33	2405.3	27254.53	1564.81	17730.98	9523.55	10954.69004	0.418753791	840.49	966.7936252
195	150	15	11.33	2399.64	27190.42	1537.37	17420	9770.42	11351.60852	0.43392639	862.27	1001.814812
210	160	16	11.33	2244.35	25430.79	1554.94	17619.13	7811.66	9167.06793	0.350420179	689.41	809.0301296
225	170	17	11.33	2252.71	25525.58	1514.6	17162.02	8363.56	9913.368242	0.378948242	738.11	874.8853638
240	180	18	11.33	2274.75	25775.29	1579.79	17900.73	7874.56	9427.559959	0.360377743	694.96	832.0181787
255	190	19	11.33	2158.75	24460.85	1556.82	17640.42	6820.43	8247.602233	0.315272699	601.93	727.8836103
270	200	20	11.33	2148.44	24344.05	1501.81	17017.08	7326.97	8949.181367	0.342091251	646.63	789.7956655
285	210	21	11.33	2231.14	25281.21	1542.89	17482.56	7798.65	9621.023402	0.367773073	688.25	849.0789248
300	220	22	11.33	2051.17	23241.92	1539.9	17448.7	5793.22	7218.796637	0.275945595	511.27	637.08165
315	230	23	11.33	2108.01	23885.94	1588.05	17994.22	5891.72	7415.318851	0.283457849	519.96	654.4216612
330	240	24	11.33	2017.72	22862.87	1496.53	16957.28	5905.59	7507.47627	0.286980657	521.19	662.5623447
345	250	25	11.33	2033.38	23040.37	1510.92	17120.27	5920.1	7601.558869	0.290577057	522.46	670.8519192
360	260	26	11.33	1933.78	21911.71	1596.66	18091.85	3819.86	4954.091361	0.18937501	337.12	437.2210708
375	270	27	11.33	2004.75	22715.91	1539.63	17445.68	5270.23	6903.813947	0.263905072	465.12	609.2906653
390	280	28	11.33	2004.22	22709.88	1558.25	17656.62	5053.26	6686.118955	0.255583467	445.97	590.0762024
405	290	29	11.33	1935.58	21932.13	1639.82	18580.85	3351.28	4478.742712	0.171204341	295.76	395.2617939
420	300	30	11.33	1900.06	21529.73	1657.67	18783.13	2746.6	3707.522201	0.141723679	242.39	327.1922764
435	310	31	11.33	1891.21	21429.34	1596.58	18090.9	3338.44	4551.712938	0.1739937	294.63	401.7059414
450	320	32	11.33	1853.44	21001.43	1675.6	18986.31	2015.12	2775.0777	0.106080072	177.84	244.9084016
