time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	8	1	9.35	1777.82	16621.18	1779.94	16640.96	-19.78	-19.93887465	-0.000391698	-2.12	-2.137028021
0	16	2	9.35	7104.26	66419.07	1745.97	16323.39	50095.68	50903.65746	1	5358.29	5444.712174
15	24	3	9.35	6385.44	59698.69	1804.85	16873.91	42824.78	43865.00752	0.861726047	4580.59	4691.853987
30	32	4	9.35	6142.59	57428.3	1870.6	17488.59	39939.71	41238.44973	0.81012744	4271.99	4410.904457
45	40	5	9.35	5796.67	54194.17	1794.65	16778.48	37415.69	38942.65328	0.765026625	4002.02	4165.345535
60	48	6	9.35	6060.4	56659.85	1843.8	17238.06	39421.79	41360.18525	0.812518929	4216.6	4423.932985
75	56	7	9.35	5812.65	54343.58	1863.94	17426.38	36917.2	39043.54521	0.767008643	3948.71	4176.14655
90	64	8	9.35	5608	52430.31	1933.98	18081.12	34349.19	36619.41036	0.719386625	3674.02	3916.844795
105	72	9	9.35	5359.92	50110.94	1950.69	18237.34	31873.6	34253.13457	0.672901247	3409.23	3663.747239
120	80	10	9.35	5432.45	50788.99	1879.62	17572.91	33216.08	35982.5499	0.706875531	3552.83	3848.734793
135	88	11	9.35	5258.4	49161.8	1968.32	18402.23	30759.57	33589.08508	0.659856025	3290.08	3592.728281
150	96	12	9.35	5350.82	50025.89	1909.66	17853.81	32172.08	35413.70867	0.695700671	3441.16	3787.888061
165	104	13	9.35	5222.68	48827.82	1927.42	18019.81	30808.01	34184.58191	0.671554533	3295.26	3656.421995
180	112	14	9.35	5105.4	47731.33	1947.14	18204.21	29527.12	33026.46346	0.648803349	3158.26	3532.554427
195	120	15	9.35	5040.54	47124.97	2060.41	19263.21	27861.76	31414.04668	0.617127496	2980.13	3360.087192
210	128	16	9.35	5093.46	47619.7	1984.9	18557.24	29062.46	33031.02618	0.648892984	3108.56	3533.043202
225	136	17	9.35	5011.27	46851.34	1977.6	18488.95	28362.39	32494.27668	0.638348565	3033.67	3475.62079
240	144	18	9.35	4996.37	46712.01	2064.34	19299.88	27412.13	31657.83332	0.621916673	2932.03	3386.154853
255	152	19	9.35	4750.56	44413.92	1944.39	18178.49	26235.43	30542.24439	0.600000981	2806.17	3266.831531
270	160	20	9.35	4735.39	44272.04	1943.48	18169.96	26102.08	30631.07464	0.601746047	2791.91	3276.336736
285	168	21	9.35	4726.75	44191.26	1982.99	18539.32	25651.94	30344.61896	0.596118638	2743.76	3245.694155
300	176	22	9.35	4503.43	42103.42	2042.51	19095.79	23007.63	27435.17365	0.538962719	2460.92	2934.494667
315	184	23	9.35	4649.01	43464.52	2019.58	18881.4	24583.12	29549.29922	0.580494619	2629.43	3160.616466
330	192	24	9.35	4602.78	43032.26	2030.16	18980.33	24051.93	29143.01446	0.572513173	2572.62	3117.167805
345	200	25	9.35	4510.18	42166.54	2071.86	19370.23	22796.31	27843.47591	0.546983798	2438.32	2978.170773
360	208	26	9.35	4592	42931.45	2040.98	19081.49	23849.96	29364.38485	0.576861984	2551.02	3140.84942
375	216	27	9.35	4469.98	41790.67	2179.91	20380.38	21410.29	26572.36185	0.522012821	2290.07	2842.211325
390	224	28	9.35	4478.11	41866.72	2068.08	19334.9	22531.82	28188.90702	0.553769777	2410.03	3015.118689
405	232	29	9.35	4363.58	40795.95	2079.5	19441.62	21354.33	26930.36686	0.529045813	2284.08	2880.49835
420	240	30	9.35	4393.45	41075.18	2077.42	19422.19	21652.99	27526.34514	0.540753779	2316.03	2944.25117
435	248	31	9.35	4314.87	40340.56	2056.07	19222.63	21117.93	27061.78115	0.531627441	2258.8	2894.561695
450	256	32	9.35	4015.85	37544.98	2082.57	19470.32	18074.66	23347.99136	0.458670212	1933.28	2497.319714
