time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	5	1	10.94	1099.58	12033.01	1183.16	12947.64	-914.63	-919.214602	-0.051098006	-83.58	-83.99894649
0	10	2	10.94	2939.08	32163.2	1311.57	14352.95	17810.25	17989.24599	1	1627.51	1643.866747
15	15	3	10.94	2761.93	30224.6	1290.09	14117.8	16106.8	16350.22311	0.908888739	1471.84	1494.084013
30	20	4	10.94	2691.3	29451.72	1211.39	13256.55	16195.17	16522.33414	0.918456179	1479.91	1509.806165
45	25	5	10.94	2445.33	26759.93	1218.74	13337.08	13422.85	13762.65107	0.765048801	1226.59	1257.641274
60	30	6	10.94	2484.15	27184.78	1234.18	13506.01	13678.77	14095.35057	0.783543155	1249.97	1288.037254
75	35	7	10.94	2343.91	25650.05	1213.08	13275.08	12374.97	12815.76283	0.712412451	1130.83	1171.109835
90	40	8	10.94	2393.9	26197.17	1196.66	13095.37	13101.8	13636.4946	0.758035918	1197.24	1246.100291
105	45	9	10.94	2328.11	25477.24	1170.18	12805.64	12671.6	13254.84663	0.736820578	1157.93	1211.22704
120	50	10	10.94	2221.83	24314.19	1227.73	13435.44	10878.75	11436.51544	0.63574179	994.1	1045.068597
135	55	11	10.94	2284.52	25000.17	1164.13	12739.46	12260.71	12953.93808	0.720093443	1120.39	1183.737539
150	60	12	10.94	2255.72	24684.97	1096.96	12004.41	12680.56	13464.68204	0.74848507	1158.76	1230.413717
165	65	13	10.94	2289.5	25054.71	1157.11	12662.6	12392.11	13224.35202	0.73512542	1132.39	1208.440208
180	70	14	10.94	2234.25	24450.08	1235.36	13518.93	10931.15	11723.74781	0.651708683	998.89	1071.317697
195	75	15	10.94	2194.3	24012.82	1207.15	13210.24	10802.58	11643.92977	0.647271697	987.15	1064.03334
210	80	16	10.94	2135.63	23370.83	1186.5	12984.22	10386.61	11251.68029	0.625467032	949.13	1028.180255
225	85	17	10.94	1952.17	21363.16	1252.61	13707.68	7655.48	8334.65173	0.463313011	699.56	761.6229112
240	90	18	10.94	2017.63	22079.56	1238.3	13551.03	8528.53	9331.698204	0.518737595	779.33	852.7228445
255	95	19	10.94	1985.06	21723.04	1192.63	13051.34	8671.7	9535.911694	0.530089571	792.43	871.4026666
270	100	20	10.94	2063.7	22583.64	1191.23	13035.96	9547.68	10551.81827	0.586562565	872.47	964.2284709
285	105	21	10.94	2040.13	22325.78	1226.3	13419.75	8906.03	9892.022017	0.549885305	813.83	903.929616
300	110	22	10.94	1975.5	21618.48	1216.76	13315.32	8303.16	9268.635424	0.515232013	758.74	846.9648232
315	115	23	10.94	1912.97	20934.22	1194.42	13070.86	7863.36	8821.694714	0.49038713	718.55	806.1221586
330	120	24	10.94	1895.8	20746.29	1230.46	13465.29	7281	8209.304576	0.456345118	665.34	750.1687552
345	125	25	10.94	1915.26	20959.21	1224.27	13397.52	7561.69	8568.517326	0.476313311	690.99	782.9942496
360	130	26	10.94	1931.69	21139	1256.66	13752.02	7386.98	8412.502491	0.467640639	675.03	768.7433236
375	135	27	10.94	2080.24	22764.64	1238.22	13550.21	9214.43	10546.25408	0.586253259	842.02	963.7228632
390	140	28	10.94	1909.11	20891.91	1211.65	13259.48	7632.43	8779.384251	0.488035144	697.46	802.2699638
405	145	29	10.94	1892.93	20714.92	1243.37	13606.56	7108.36	8217.54544	0.456803217	649.56	750.9170633
420	150	30	10.94	1745.21	19098.33	1191.67	13040.83	6057.5	7037.810925	0.39122323	553.54	643.1217267
435	155	31	10.94	1867.48	20436.43	1257.69	13763.3	6673.13	7791.93337	0.433143967	609.79	712.0261481
450	160	32	10.94	1899.11	20782.48	1214.85	13294.47	7488.01	8787.261137	0.48847301	684.26	802.9865486
