time	num_scans	frame	area	avg_intensity_roi	integrated_intensity_roi	avg_intensity_background	integrated_intensity_background	integrated_intensity_background_subtracted	bleaching_corrected	corrected_relative_intensity	avg_intensity_background_subtracted	avg_intensity_bleach_corrected
-15	10	1	8.32	1128.56	9384.18	1114.02	9263.28	120.9	122.1150652	0.028263427	14.54	14.68612943
0	20	2	8.32	1670.17	13887.77	1160.85	9652.72	4235.05	4320.603685	1	509.32	519.6089465
15	30	3	8.32	1520.12	12640.07	1070.93	8904.95	3735.12	3848.871339	0.890817955	449.19	462.8698721
30	40	4	8.32	1542.9	12829.46	1077.75	8961.7	3867.76	4025.60628	0.931723105	465.15	484.1331316
45	50	5	8.32	1490.25	12391.69	1127.38	9374.35	3017.34	3172.04233	0.734166464	362.87	381.4747427
60	60	6	8.32	1503.08	12498.41	1101.75	9161.26	3337.15	3543.507831	0.820141834	401.33	426.1468612
75	70	7	8.32	1461.26	12150.68	1117.44	9291.72	2858.96	3066.25799	0.70968277	343.82	368.7497629
90	80	8	8.32	1477.18	12282.99	1143.42	9507.78	2775.21	3006.349103	0.695816909	333.76	361.5578917
105	90	9	8.32	1543.48	12834.33	1050.83	8737.83	4096.5	4482.284953	1.03742099	492.65	539.0449609
120	100	10	8.32	1358.03	11292.23	1106.47	9200.51	2091.72	2311.708113	0.535042851	251.56	278.0167962
135	110	11	8.32	1447.72	12038.05	1118.87	9303.57	2734.48	3052.440058	0.706484621	328.85	367.0880435
150	120	12	8.32	1393.63	11588.3	1156.59	9617.26	1971.04	2222.341394	0.514359001	237.04	267.2618537
165	130	13	8.32	1419.15	11800.45	1157.44	9624.28	2176.17	2478.284163	0.573596734	261.71	298.0427762
180	140	14	8.32	1370.73	11397.83	1147.9	9544.97	1852.86	2131.296311	0.493286695	222.83	256.3155106
195	150	15	8.32	1352.56	11246.78	1112.83	9253.42	1993.36	2315.953906	0.536025536	239.73	278.526523
210	160	16	8.32	1447.86	12039.22	1147.65	9542.9	2496.32	2929.458657	0.678020682	300.21	352.2996986
225	170	17	8.32	1361.58	11321.74	1140.18	9480.81	1840.93	2182.06326	0.505036661	221.4	262.4264941
240	180	18	8.32	1386.38	11527.99	1076.8	8953.81	2574.18	3081.852992	0.713292219	309.58	370.6345513
255	190	19	8.32	1311.36	10904.22	1104.8	9186.64	1717.58	2076.982924	0.480715908	206.56	249.7825969
270	200	20	8.32	1245.39	10355.63	1073.6	8927.14	1428.49	1744.761626	0.403823575	171.79	209.8247798
285	210	21	8.32	1300.12	10810.73	1124.95	9354.15	1456.58	1796.950789	0.415902712	175.17	216.1033858
300	220	22	8.32	1333.87	11091.33	1126.97	9370.95	1720.38	2143.725486	0.496163417	206.9	257.8132756
315	230	23	8.32	1335.64	11106.11	1108.64	9218.52	1887.59	2375.720793	0.54985853	227	285.7022023
330	240	24	8.32	1242.18	10328.92	1096.38	9116.58	1212.34	1541.186195	0.356706217	145.8	185.3481261
345	250	25	8.32	1282.72	10666.05	1128.2	9381.16	1284.89	1649.831418	0.38185206	154.52	198.4076074
360	260	26	8.32	1318.72	10965.4	1088.62	9052.09	1913.31	2481.429304	0.574324674	230.1	298.4236129
375	270	27	8.32	1311.03	10901.42	1090.32	9066.17	1835.25	2404.112258	0.556429711	220.71	289.1222539
390	280	28	8.32	1298.11	10794.01	1057.07	8789.75	2004.26	2651.896158	0.613779081	241.04	318.92721
405	290	29	8.32	1324.58	11014.08	1104.62	9185.13	1828.95	2444.259054	0.565721652	219.96	293.9605903
420	300	30	8.32	1333.67	11089.74	1103.73	9177.72	1912.02	2580.957037	0.597360282	229.94	310.3865342
435	310	31	8.32	1296.24	10778.5	1119.91	9312.27	1466.23	1999.094805	0.46268877	176.33	240.4127504
450	320	32	8.32	1308.28	10878.63	1082.29	8999.44	1879.19	2587.884723	0.598963689	225.99	311.2171035
