sample	total_reads	exp_reads	spike_reads	NF
LacZKD_DMSO_rep1	15448661	15431880	16781	0.0648
LacZKD_DMSO_rep2	30904394	30868025	36369	0.0324
LacZKD_FP_rep1	16627236	16600591	26645	0.0408
LacZKD_FP_rep2	14357523	14337436	20087	0.0587
NELFeKD_DMSO_rep1	17887325	17859670	27655	0.0393
NELFeKD_DMSO_rep2	14941194	14916553	24641	0.0478
NELFeKD_FP_rep1	11015741	10997898	17843	0.0609
NELFeKD_FP_rep2	17447182	17410615	36567	0.0322
